x,y,z,aream2,_CLASE
-86.95288351,20.74385712,-4.9,855.491625,Macroalgae
-86.95271828,20.74402696,-5.5,1899.956941,S&B
-86.95286515,20.74420973,-5.3,209.50803,Corals
-86.95307018,20.74384986,-5.3,209.508571,S&B
-86.95292435,20.74431667,-5.6,104.754064,S&B
-86.96066492,20.74081134,-4.1,355.441038,Sediments
-86.95806687,20.74088483,-3.9,663.478734,Sediments
-86.95765366,20.74091557,-4.4,785.695334,Sediments
-86.96080166,20.74123205,-4.3,278.063921,Sediments
-86.95734058,20.74113817,-4.5,2042.800556,Sediments
-86.95728516,20.74205928,-5.1,18367.7093,Sediments
-86.95748929,20.74260588,-5.5,2572.876853,Sediments
-86.95600095,20.74345575,-5.7,331.731609,Sediments
-86.95647272,20.73994259,-4.2,768.227472,Macroalgae
-86.9557965,20.74004251,-3.9,1676.120612,Macroalgae
-86.95674628,20.74053787,-4.4,453.953445,Macroalgae
-86.95295953,20.74054463,-5.3,282.583968,Macroalgae
-86.95638778,20.74071653,-4.2,890.443821,Macroalgae
-86.95787632,20.7408006,-3.9,331.738765,Macroalgae
-86.95840087,20.74078969,-3.8,278.319259,Macroalgae
-86.95647514,20.74102351,-4,314.274428,Macroalgae
-86.95263999,20.74123024,-5.3,178.640577,Macroalgae
-86.96033988,20.74116587,-4.3,1649.745069,Macroalgae
-86.95695709,20.74118854,-4.5,1938.034406,Macroalgae
-86.95292213,20.74135117,-5.2,1704.727928,Macroalgae
-86.95689283,20.74165423,-4.7,296.815718,Macroalgae
-86.9564132,20.74172499,-4.5,680.927015,Macroalgae
-86.95665805,20.74234263,-5.1,820.605557,Macroalgae
-86.95798004,20.74247707,-5,2213.072813,Macroalgae
-86.95306611,20.74266535,-4.4,11506.7585,Macroalgae
-86.95762741,20.74232656,-5.3,20291.96596,Macroalgae
-86.95622999,20.73987187,-2.8,942.822346,Corals
-86.95299768,20.74023112,-6,82.892356,Corals
-86.956036,20.74033348,-3.9,384.111926,Corals
-86.95991022,20.74042756,-4,1687.666592,Corals
-86.95938195,20.74085205,-3,715.867979,Corals
-86.95710612,20.7406248,-3.3,3596.72089,Corals
-86.95649863,20.74095625,-4.3,104.758181,Corals
-86.96027362,20.74087628,-2.7,4330.166558,Corals
-86.95707491,20.74113711,-4.5,69.839169,Corals
-86.95806348,20.74106618,-3.5,6664.482846,Corals
-86.95760603,20.74162657,-4.8,453.956652,Corals
-86.95727354,20.74157145,-3.3,1134.888156,Corals
-86.95709635,20.74175382,-4.9,139.678256,Corals
-86.95450398,20.74174095,-4.1,2426.847887,Corals
-86.95783533,20.74191721,-5.2,558.716951,Corals
-86.95798023,20.74237224,-5.1,1099.97503,Corals
-86.95509273,20.74255904,-7.4,331.72899,Corals
-86.95397574,20.74238084,-3.3,3910.869228,Corals
-86.95620125,20.74311743,-5.4,1326.929679,Corals
-86.95664561,20.74342312,-4.9,682.285993,Corals
-86.95544266,20.74254991,-5.1,18299.23564,Corals
-86.95643707,20.7397916,-4.4,157.137405,S&B
-86.9578811,20.74060093,-3.3,32.530859,S&B
-86.95692139,20.74055878,-4.4,69.839109,S&B
-86.96024871,20.7406156,-4.2,87.301745,S&B
-86.95587614,20.7404251,-4.1,593.626414,S&B
-86.95988465,20.74066341,-4,69.841143,S&B
-86.95849878,20.74072046,-4.1,111.131169,S&B
-86.95770349,20.74077583,-4.2,122.219347,S&B
-86.9582194,20.74094635,-3.6,122.219936,S&B
-86.95805303,20.74130001,-5.1,628.55841,S&B
-86.95722853,20.74139016,-4.9,104.758882,S&B
-86.95758431,20.7415293,-4.5,401.576994,S&B
-86.95807202,20.74159737,-5.2,384.118967,S&B
-86.95705829,20.74171024,-4.8,244.436841,S&B
-86.95665207,20.74184181,-4.4,139.677633,S&B
-86.95814947,20.74182009,-5.1,157.139674,S&B
-86.95734684,20.7419715,-5.1,104.758928,S&B
-86.95790315,20.74200929,-5.2,139.679326,S&B
-86.95794232,20.74217797,-5.2,209.519028,S&B
-86.95497159,20.74259934,-7.3,134.437369,S&B
-86.95500821,20.74223946,-5.7,3253.045109,S&B
-86.95487617,20.74271241,-6,10.997134,S&B
-86.95790762,20.74271799,-5.3,67.571285,S&B
-86.95426379,20.74260607,-5.3,685.181607,S&B
