x,y,z,aream2
-86.95288351,20.74385712,-4.9,855.491625
-86.95286515,20.74420973,-5.3,209.50803
-86.95647272,20.73994259,-4.2,768.227472
-86.9557965,20.74004251,-3.9,1676.120612
-86.95674628,20.74053787,-4.4,453.953445
-86.95295953,20.74054463,-5.3,282.583968
-86.95638778,20.74071653,-4.2,890.443821
-86.95787632,20.7408006,-3.9,331.738765
-86.95840087,20.74078969,-3.8,278.319259
-86.95647514,20.74102351,-4,314.274428
-86.95263999,20.74123024,-5.3,178.640577
-86.96033988,20.74116587,-4.3,1649.745069
-86.95695709,20.74118854,-4.5,1938.034406
-86.95292213,20.74135117,-5.2,1704.727928
-86.95689283,20.74165423,-4.7,296.815718
-86.9564132,20.74172499,-4.5,680.927015
-86.95665805,20.74234263,-5.1,820.605557
-86.95798004,20.74247707,-5,2213.072813
-86.95306611,20.74266535,-4.4,11506.7585
-86.95762741,20.74232656,-5.3,20291.96596
-86.95622999,20.73987187,-2.8,942.822346
-86.95299768,20.74023112,-6,82.892356
-86.956036,20.74033348,-3.9,384.111926
-86.95991022,20.74042756,-4,1687.666592
-86.95938195,20.74085205,-3,715.867979
-86.95710612,20.7406248,-3.3,3596.72089
-86.95649863,20.74095625,-4.3,104.758181
-86.96027362,20.74087628,-2.7,4330.166558
-86.95707491,20.74113711,-4.5,69.839169
-86.95806348,20.74106618,-3.5,6664.482846
-86.95760603,20.74162657,-4.8,453.956652
-86.95727354,20.74157145,-3.3,1134.888156
-86.95709635,20.74175382,-4.9,139.678256
-86.95450398,20.74174095,-4.1,2426.847887
-86.95783533,20.74191721,-5.2,558.716951
-86.95798023,20.74237224,-5.1,1099.97503
-86.95509273,20.74255904,-7.4,331.72899
-86.95397574,20.74238084,-3.3,3910.869228
-86.95620125,20.74311743,-5.4,1326.929679
-86.95664561,20.74342312,-4.9,682.285993
-86.95544266,20.74254991,-5.1,18299.23564
-86.95303559,20.73929711,-7.2,2.768662
-86.95637236,20.740271,-3.6,209.516286
-86.95811217,20.74164338,-5.2,34.919919
-86.9577087,20.74178786,-5.2,17.459887
-86.95561422,20.74337765,-5.4,34.918986
-86.95492136,20.74384651,-5.9,31.373348
-86.96026568,20.74127599,-4.5,1209.096408
-86.95865098,20.74194754,MISS,3092.800786
-86.95609194,20.73927437,-4.8,715.846123
-86.95637921,20.73961035,MISS,331.734373
-86.95540838,20.73955221,-4.2,1274.546627
-86.95429361,20.73964515,-4.2,2861.258944
-86.9533122,20.73974239,-5.3,1065.009838
-86.95450369,20.7400126,-3.4,925.346823
-86.95340414,20.74014698,-5.1,1326.897967
-86.95434621,20.74030727,-3.3,1030.101257
-86.95598624,20.74046637,-4.1,436.490489
-86.95566223,20.74076129,-3.9,3579.20928
-86.95472234,20.74119826,-4,419.0253
-86.95453896,20.74108353,-3.3,1239.614349
-86.95615918,20.74118807,-4.1,838.062294
-86.95551953,20.74128269,-3.9,453.947657
-86.95592363,20.74162048,-4.4,331.732095
-86.95485218,20.74155349,-4.3,855.510462
-86.95291212,20.74172789,-5.3,488.853801
-86.95365952,20.74124831,-4.2,8973.540427
-86.95608984,20.74231735,-4.5,2357.044481
-86.95312027,20.73932466,-6.1,192.050651
-86.95630504,20.73942397,-3.6,611.089335
-86.95454793,20.73946785,-3.6,1047.019135
-86.95572758,20.73946536,-4.1,1379.307989
-86.95389521,20.73970197,-4.6,314.267005
-86.95557685,20.73978135,-4.1,139.676504
-86.95588094,20.73974813,-3.6,611.086643
-86.95301631,20.73979874,-6.2,122.21385
-86.95379021,20.73987123,-5.1,157.133283
-86.95428964,20.74007016,-4,104.756014
-86.95376302,20.74003741,-4.7,401.562616
-86.95460125,20.74017968,-3.4,157.134488
-86.95513102,20.74025291,-2.9,87.29738
-86.95381698,20.74032123,-4.3,174.592502
-86.95574408,20.74038292,-4.1,366.651135
-86.95517054,20.73978372,-3.3,8066.285456
-86.95428952,20.74046774,-3.4,139.674617
-86.95384974,20.74050337,-4.2,401.562768
-86.95628065,20.7405618,-4.2,296.814332
-86.95592988,20.7406268,-4,157.136461
-86.95610092,20.74074248,-4.2,296.813763
-86.95563535,20.7407094,-4,593.624807
-86.9529063,20.74084681,-5.1,17.200877
-86.95626811,20.74092005,-4.1,69.83863
-86.95492056,20.74062969,-2.9,4172.804045
-86.95438543,20.7409542,-3.3,209.511997
-86.95347528,20.74090506,-4.7,435.126787
-86.95585244,20.74098566,-3.9,384.110889
-86.95556405,20.74104691,-4.3,296.812095
-86.95544201,20.7410102,-4.2,104.75708
-86.95603754,20.74106457,-4.1,69.838461
-86.95366839,20.74106395,-4.3,235.434222
-86.9554249,20.74112565,-3.9,314.27109
-86.95659942,20.74121381,-4.2,209.516508
-86.95495422,20.74115899,-4,942.809131
-86.9559027,20.74127614,-3.6,541.247296
-86.956305,20.74131047,-3.3,1187.256581
-86.95571088,20.74129902,-3.6,401.569735
-86.95409327,20.74143995,-4.1,174.592724
-86.95436086,20.74128361,-2.9,1623.716526
-86.95508809,20.74142621,-4.2,1466.593225
-86.95583621,20.74169756,-4.4,296.812661
-86.95623002,20.74181403,-4.4,558.708216
-86.95356101,20.74194022,-3.7,855.499371
-86.95657135,20.74199214,-4.8,436.492249
-86.95646672,20.74218771,-5,122.21766
-86.95344367,20.74231084,-4,69.83657
-86.95310389,20.74238347,-4.2,161.607089
-86.95651798,20.74248361,-4.6,576.169041
-86.95281565,20.74281494,-4.7,371.462386
-86.95668681,20.74300275,-4.5,1606.290948
-86.95362003,20.74303751,-4.2,1134.845278
-86.95337939,20.74341682,-4.7,611.068738
-86.95359313,20.74357772,-5.6,87.295705
-86.95322783,20.74361324,-5.1,122.213543
-86.95488539,20.73932937,-3.5,34.918907
-86.95373248,20.74019651,-4.7,34.918474
-86.95576883,20.74023319,-4.1,34.919172
-86.95329049,20.74066626,-5.3,52.377453
-86.95523065,20.74117279,-3.6,34.918948
-86.95653681,20.74182371,-4.6,34.919369
-86.9537895,20.74222057,-3.4,52.377611
-86.95642142,20.7422574,-4.8,34.919311
-86.9536358,20.74225668,-3.6,52.37753
-86.9559027,20.74232956,-4.3,52.378695
-86.95586423,20.74247412,-4.5,52.378666
-86.9561908,20.7425465,-4.8,34.91922
-86.95659419,20.74269117,-4.8,52.379028
-86.95290543,20.74337693,-5,52.377083
-86.95594517,20.73533292,-5.9,161.660456
-86.95575107,20.73499854,-5.4,752.705659
-86.95409892,20.7354638,-8.3,157.134601
-86.95396707,20.73739194,-6.1,1253.593878
-86.95378937,20.73767644,MISS,50.160031
-86.95378601,20.73807619,-6.2,1944.290241
-86.95407877,20.73538135,-8.2,349.187966
-86.95417079,20.73620941,-8.9,3446.93137
-86.95388191,20.73706269,-8.3,11.617675
-86.95367176,20.73788224,MISS,91.51469
-86.95359212,20.73825819,-8.3,99.461763
-86.95392203,20.73687783,-8.2,1.497561
-86.95360789,20.7380764,-8.1,8.676862
-86.95353711,20.73833001,-7.9,3.588697
-86.95510117,20.73487783,-5.3,960.277201
-86.95567958,20.73518108,MISS,314.274206
-86.95437446,20.73549406,-5.9,558.702339
-86.9549608,20.73538781,-5.3,3456.990173
-86.95557557,20.735949,-5.4,558.708691
-86.9560613,20.73638469,-5.6,1090.543418
-86.95603874,20.73696504,-5.8,453.952338
-86.9562337,20.73719461,MISS,1.640671
-86.95618281,20.73738611,MISS,111.888882
-86.95491812,20.73776308,-5.3,1309.461811
-86.95374349,20.73850151,-5.6,331.726194
-86.95508128,20.73857771,MISS,349.154661
-86.95402403,20.73864474,-5.3,436.483015
-86.95640686,20.73850722,-5.8,442.320137
-86.95375438,20.73895189,-5.3,366.644622
-86.95594396,20.73904899,-4.9,663.466264
-86.95458844,20.7388237,-4.8,5843.161983
-86.95385745,20.73479227,-6.3,413.719299
-86.95406067,20.73490155,-7.7,174.59406
-86.95548823,20.73527076,-4.9,384.112168
-86.95404123,20.7356967,-9,69.797689
-86.95482498,20.73576739,-5.9,87.297591
-86.95407954,20.73601899,-8.4,104.756309
-86.95443832,20.73599914,-6.6,645.999508
-86.95469415,20.73641975,-7.7,69.837929
-86.95602509,20.73665762,-5.3,122.217945
-86.95482471,20.73667098,-6,87.297495
-86.95571664,20.73673281,-5.4,226.975487
-86.95431491,20.73659309,-6.5,1169.780745
-86.95486691,20.73685654,-5.9,209.514033
-86.9546309,20.73685862,-5.9,244.432461
-86.9558541,20.73694213,-5.9,157.137047
-86.95621985,20.73700228,-5.6,72.5517
-86.95454862,20.73704741,-7.1,261.891672
-86.9543673,20.73732326,-6.1,104.756444
-86.95500124,20.73735957,-5.5,69.838061
-86.95454339,20.7373454,-5.9,157.134935
-86.95427119,20.7375401,-6.2,104.756315
-86.95448676,20.73757529,-5.6,157.134803
-86.95555964,20.73769412,-5.3,139.67683
-86.95588711,20.73745722,-5.8,3928.079731
-86.95636377,20.73804597,-5.3,3297.792533
-86.95517011,20.73828787,-4.7,426.290955
-86.9560265,20.73836817,-5.1,838.064209
-86.95659191,20.73851057,-5.8,9.748773
-86.95550176,20.73852767,-5,104.757459
-86.95632782,20.73857531,-5.3,279.355488
-86.95608342,20.73854289,-5.3,314.274248
-86.95438748,20.73874424,-4.6,69.837521
-86.95569907,20.73872907,-4.8,2618.941553
-86.95588585,20.73896149,-5,69.838533
-86.95554965,20.73903691,-4.2,541.246823
-86.95489095,20.7391768,-3.7,122.216208
-86.954541,20.73584409,-7.1,471.405671
-86.95459004,20.73629988,-8.1,331.729843
-86.95452987,20.73653085,-8,349.189038
-86.95445778,20.73669799,-8,349.188699
-86.95436741,20.73697458,-7.7,296.810048
-86.95534771,20.73502839,-5,34.919248
-86.95565502,20.73524533,-5.2,34.919345
-86.9549248,20.73600416,-5.8,34.919061
-86.95573158,20.73618509,-4.9,34.919331
-86.95527052,20.73622111,-5.2,34.919171
-86.95576993,20.7364381,-5,34.919334
-86.95494387,20.73647403,-5.9,52.378571
-86.95580833,20.7365104,-4.7,34.919344
-86.95457884,20.73658237,-8.2,34.918918
-86.95457882,20.73665466,-8.3,34.918915
-86.95450195,20.73676307,-8.1,34.918884
-86.95561613,20.73683565,-5.1,34.919264
-86.95523192,20.73683555,-5.5,34.919132
-86.95396401,20.7369075,-8.3,34.918693
-86.95438663,20.73694375,-7.5,34.918837
-86.95527023,20.73723314,-5.2,34.919128
-86.95530863,20.73730543,-5.2,34.919138
-86.95542388,20.73734161,-5.3,34.919176
-86.95527014,20.73752229,-5.5,34.919116
-86.95440691,20.7380033,-5.6,52.378198
-86.95598855,20.73811213,-5,209.516032
-86.95465661,20.73814794,-5.1,34.918878
-86.95554026,20.7382566,-5.1,34.919178
-86.95444526,20.73825631,-5.3,52.378202
-86.9555953,20.7383801,-5.1,261.893928
-86.95567467,20.73850964,-5,52.37882
-86.95565535,20.73887107,-5.1,34.919191
-86.9552711,20.7389794,-3.7,34.919055
-86.95577056,20.73905182,-4.7,34.919223
-86.95381104,20.73912359,-5.1,34.918546
