x,y
-86.96517144,20.72390102
-86.96318692,20.72221329
-86.96291126,20.722388
-86.96245805,20.72290153
-86.96139742,20.72390364
-86.96081429,20.72446623
-86.96023026,20.72506604
-86.95968882,20.72559457
-86.9590172,20.72622453
-86.95863496,20.72663714
-86.95826541,20.72698235
-86.95796076,20.72734841
-86.95772908,20.72759747
-86.95752079,20.72782923
-86.95654998,20.7290204
-86.95651252,20.72908593
-86.95563608,20.72967119
-86.95520273,20.73011428
-86.95499935,20.73032224
-86.95455747,20.73080313
-86.95430896,20.73125384
-86.9541224,20.73162994
-86.9538705,20.73193543
-86.95359999,20.73221053
-86.95353612,20.73241137
-86.95294072,20.7328768
-86.95277683,20.73311922
-86.95294036,20.73339704
-86.95270346,20.73382922
-86.95251527,20.73434657
-86.95197185,20.73501453
-86.95146259,20.7353675
-86.95105909,20.73625238
-86.95067241,20.73655335
-86.95040183,20.73698468
-86.95018912,20.73807307
-86.95036829,20.7383088
-86.9508085,20.73816519
-86.95076888,20.73797421
-86.95090508,20.73730674
-86.95129808,20.73696496
-86.95142179,20.73662713
-86.95171851,20.73693857
-86.9516188,20.7379837
-86.95182884,20.73798829
-86.9521204,20.7375636
-86.95250256,20.73738849
-86.95232488,20.73711078
-86.95266133,20.7368378
-86.95354537,20.73667394
-86.95363502,20.73610225
-86.95356259,20.73545504
-86.95346126,20.73534697
-86.95379657,20.73497749
-86.95404422,20.73571986
-86.95392777,20.73625437
-86.95403068,20.73646525
-86.95374257,20.73766693
-86.95358367,20.7381057
-86.95346795,20.73858871
-86.95310765,20.73911503
-86.95291647,20.73958356
-86.95287987,20.73987058
-86.95302146,20.74005604
-86.95287391,20.74053635
-86.95289097,20.74092405
-86.95272443,20.74115874
-86.95255441,20.74118558
-86.95259041,20.74154244
-86.952592,20.74186599
-86.95240006,20.7421222
-86.9523753,20.74229505
-86.95218361,20.7425718
-86.9523143,20.74274934
-86.95248656,20.74284453
-86.9526742,20.74305388
-86.95273518,20.74310859
-86.95245488,20.74375007
-86.95244142,20.74421145
-86.95270453,20.7444356
-86.95302203,20.74445724
-86.95374482,20.74372478
-86.95395805,20.74307953
-86.95423303,20.74287054
-86.95455983,20.7424392
-86.95483078,20.74252734
-86.95468227,20.74360393
-86.95489733,20.74390837
-86.95682692,20.74346863
-86.95703096,20.74314954
-86.95830602,20.74263969
-86.95858606,20.74205374
