x,y,z,aream2
-86.95271828,20.74402696,-5.5,1899.956941
-86.95307018,20.74384986,-5.3,209.508571
-86.95292435,20.74431667,-5.6,104.754064
-86.96066492,20.74081134,-4.1,355.441038
-86.95806687,20.74088483,-3.9,663.478734
-86.95765366,20.74091557,-4.4,785.695334
-86.96080166,20.74123205,-4.3,278.063921
-86.95734058,20.74113817,-4.5,2042.800556
-86.95728516,20.74205928,-5.1,18367.7093
-86.95748929,20.74260588,-5.5,2572.876853
-86.95600095,20.74345575,-5.7,331.731609
-86.95643707,20.7397916,-4.4,157.137405
-86.9578811,20.74060093,-3.3,32.530859
-86.95692139,20.74055878,-4.4,69.839109
-86.96024871,20.7406156,-4.2,87.301745
-86.95587614,20.7404251,-4.1,593.626414
-86.95988465,20.74066341,-4,69.841143
-86.95849878,20.74072046,-4.1,111.131169
-86.95770349,20.74077583,-4.2,122.219347
-86.9582194,20.74094635,-3.6,122.219936
-86.95805303,20.74130001,-5.1,628.55841
-86.95722853,20.74139016,-4.9,104.758882
-86.95758431,20.7415293,-4.5,401.576994
-86.95807202,20.74159737,-5.2,384.118967
-86.95705829,20.74171024,-4.8,244.436841
-86.95665207,20.74184181,-4.4,139.677633
-86.95814947,20.74182009,-5.1,157.139674
-86.95734684,20.7419715,-5.1,104.758928
-86.95790315,20.74200929,-5.2,139.679326
-86.95794232,20.74217797,-5.2,209.519028
-86.95497159,20.74259934,-7.3,134.437369
-86.95500821,20.74223946,-5.7,3253.045109
-86.95487617,20.74271241,-6,10.997134
-86.95790762,20.74271799,-5.3,67.571285
-86.95426379,20.74260607,-5.3,685.181607
-86.95252642,20.74279744,-5.4,206.832955
-86.95488475,20.74292108,-6.1,150.703213
-86.95274277,20.74318007,-5.4,43.446143
-86.95367605,20.74327072,-4.8,157.13246
-86.95481665,20.74324902,-6,242.541513
-86.9528406,20.74338369,-5.1,139.67212
-86.95480014,20.74358951,-5.9,206.193291
-86.9552107,20.74368477,-5.5,104.756503
-86.95295465,20.7436085,-4.5,925.328718
-86.95361585,20.74375638,-6.1,68.716917
-86.95501614,20.74377461,-5.6,405.41848
-86.95401619,20.74014266,-4,1549.116887
-86.95327,20.74035903,-5.1,733.284456
-86.9540859,20.74098068,-3.5,768.208133
-86.95629763,20.7410556,-4.2,453.951129
-86.95576205,20.74107028,-4.2,436.489154
-86.9559242,20.74145583,-4.4,576.166374
-86.95411612,20.74142327,-4.1,2478.746068
-86.95517212,20.74159241,-4.5,436.486371
-86.95598001,20.74191594,-4.5,942.81769
-86.95260878,20.74232869,-5.1,419.016003
-86.95484197,20.73928952,-3.6,104.756676
-86.95503538,20.73934957,-3.3,226.97322
-86.9555145,20.73949218,-4.3,139.676463
-86.95465998,20.73958572,-3.3,838.05183
-86.95561616,20.73971318,-4.2,192.055283
-86.95329439,20.739722,-5.3,279.346753
-86.95600959,20.73955332,-4.4,1903.101523
-86.95515421,20.73979931,-3.3,69.837959
-86.95454854,20.73987462,-3.3,995.185152
-86.95581693,20.73999325,-3.9,157.136408
-86.95553657,20.73993785,-4,925.356125
-86.9543326,20.74012532,-3.9,663.454889
-86.95469781,20.7402274,-3.4,628.538512
-86.95556346,20.74041386,-3.3,279.352758
-86.95622569,20.7404946,-4.2,855.523303
-86.95514159,20.74037576,-3.2,1536.43394
-86.95630659,20.74073934,-4.1,69.838671
-86.9554594,20.74069936,-3.9,87.29762
-86.95403202,20.74071886,-3.9,174.592756
-86.95622834,20.74083097,-4.1,244.435135
-86.95524515,20.74086104,-3.8,209.51378
-86.95419205,20.74062175,-3.7,3788.672544
-86.95425095,20.74094212,-3.6,69.837241
-86.95498577,20.74096942,-3.7,69.837746
-86.95630844,20.74098873,-4.1,87.298311
-86.95543815,20.74108429,-4.1,87.297556
-86.95521938,20.74107232,-3.7,296.811071
-86.95655621,20.74115506,-4.2,104.758215
-86.95560046,20.74115934,-4.1,69.838154
-86.95486232,20.74108509,-3.9,401.56647
-86.95400648,20.7411564,-4,314.266754
-86.95646493,20.74124991,-4.2,69.838741
-86.95524692,20.74126014,-3.5,576.16266
-86.95456194,20.74123238,-3.2,453.943234
-86.95583574,20.74132354,-4.2,209.514876
-86.95529013,20.7414222,-4.1,174.59479
-86.95467344,20.74144824,-3.9,69.837489
-86.95626794,20.74150295,-4.2,750.764591
-86.95605661,20.741568,-4.4,122.217253
-86.95564198,20.7415509,-4.3,628.54337
-86.95452795,20.74159988,-3.9,244.430842
-86.95517286,20.74169735,-4.5,331.729598
-86.9538841,20.74171459,-4,419.021557
-86.95605309,20.74174986,-4.3,436.490141
-86.95566863,20.74176092,-4.2,453.947953
-86.95426864,20.74186437,-3.7,401.563754
-86.9558054,20.74185966,-4.2,122.216905
-86.95346664,20.74182967,-4.5,279.346463
-86.95636007,20.74182486,-4.5,261.894813
-86.95259463,20.74201965,-5.1,87.295011
-86.95603725,20.74207659,-4.7,69.838375
-86.95529227,20.74212961,-5.4,157.135181
-86.95378471,20.74217087,-3.4,69.836815
-86.95252158,20.742163,-5.1,157.130884
-86.95396482,20.7421777,-3.1,139.673854
-86.95341967,20.74228824,-4.1,139.673108
-86.95262291,20.74238091,-5.2,314.262002
-86.95357609,20.74241712,-3.9,576.152369
-86.95513377,20.74263785,-6.8,162.37267
-86.95391392,20.74247468,-3.1,890.420068
-86.95283336,20.74266459,-4.6,466.864672
-86.95529165,20.74279927,-5.2,87.297251
-86.9527991,20.74292771,MISS,147.186128
-86.95525482,20.7429774,-5.4,122.216085
-86.953307,20.74290458,-4.2,2164.929094
-86.95343674,20.74356151,-5.2,768.201138
-86.95286455,20.7366385,-9.9,663.448159
-86.95564173,20.73749783,-5.3,87924.00735
-86.95568591,20.73538745,-5.4,670.923967
-86.95415141,20.73655064,-8.3,335.798933
-86.95398447,20.73671097,-8.3,27.059752
-86.95624414,20.73881852,-5.4,1459.374414
-86.95512653,20.73640513,-5.7,146363.618
-86.95383076,20.73866377,-5.5,942.801464
-86.95468618,20.7389312,-4.4,852.342306
-86.95550328,20.73916231,-4.1,593.625163
-86.95452404,20.73919098,-4.2,844.010785
-86.95587821,20.73510218,-5.8,315.285812
-86.95436383,20.73609256,-8,87.29716
